soc_code,artistic,conventional,enterprising,investigative,realistic,social
11-1011.00,2.08,5.0,6.88,3.24,1.3,3.52
11-1011.03,2.48,4.49,6.68,4.78,2.04,3.55
11-1021.00,1.31,5.32,6.96,2.39,2.22,3.37
11-1031.00,2.7,3.62,5.52,3.35,1.54,3.69
11-2011.00,3.85,4.3,7.0,1.71,1.07,3.14
11-2021.00,2.45,4.7,7.0,2.9,1.0,2.82
11-2022.00,1.31,5.58,7.0,1.66,1.49,3.29
11-2032.00,3.68,4.39,7.0,2.35,1.0,4.14
11-2033.00,2.67,4.72,7.0,2.41,1.0,3.75
11-3012.00,1.01,6.43,6.51,2.03,1.59,3.71
11-3013.00,1.64,5.41,5.54,2.52,3.93,3.59
11-3013.01,1.29,5.39,5.6,3.71,3.4,2.75
11-3021.00,1.5,5.72,5.09,4.42,2.56,2.41
11-3031.00,1.54,5.7,7.0,2.45,1.22,2.93
11-3031.01,1.28,6.15,6.22,2.4,1.0,2.7
11-3031.03,1.47,5.25,6.77,3.71,1.66,2.56
11-3051.00,1.33,5.29,5.92,2.94,4.23,1.83
11-3051.01,1.17,5.7,5.05,4.02,3.6,2.07
11-3051.02,1.0,4.82,4.58,3.35,5.35,2.07
11-3051.03,1.0,5.06,5.41,3.74,4.59,1.83
11-3051.04,1.0,5.34,4.86,3.19,5.12,1.72
11-3051.06,1.0,5.02,4.57,3.64,5.37,1.83
11-3061.00,1.4,5.55,7.0,2.01,2.04,2.77
11-3071.00,1.0,5.74,6.0,2.64,3.6,2.39
11-3071.04,1.0,5.4,6.31,2.55,3.42,2.05
11-3111.00,1.49,5.56,7.0,2.44,1.0,3.69
11-3121.00,1.71,5.19,7.0,2.68,1.09,3.88
11-3131.00,2.62,3.93,6.35,3.26,1.95,5.54
11-9013.00,1.04,4.51,5.54,2.77,5.16,2.63
11-9021.00,1.73,4.81,5.74,3.08,4.69,2.34
11-9031.00,2.88,4.28,4.76,3.03,1.08,6.6
11-9032.00,2.95,4.48,5.17,3.32,1.18,5.87
11-9033.00,2.91,4.67,5.19,4.0,1.0,5.8
11-9041.00,2.66,4.58,6.38,4.46,3.17,2.84
11-9041.01,2.11,3.51,4.7,5.84,4.16,2.1
11-9051.00,1.59,5.29,5.95,1.86,3.96,3.51
11-9071.00,1.0,5.44,6.71,1.32,2.94,2.63
11-9072.00,1.88,4.78,5.86,2.04,4.11,3.55
11-9081.00,1.45,5.31,6.29,1.17,2.45,4.22
11-9111.00,1.32,5.63,5.65,3.85,2.15,4.24
11-9121.00,2.51,4.19,5.63,5.73,3.04,2.97
11-9121.01,1.53,5.04,4.27,5.74,1.98,3.57
11-9121.02,1.78,4.17,3.53,5.8,4.45,2.58
11-9131.00,1.07,5.94,6.0,1.16,2.08,3.37
11-9141.00,1.75,5.36,6.77,2.22,3.14,3.49
11-9151.00,2.34,4.55,7.0,2.15,1.0,5.35
11-9161.00,1.78,4.66,4.99,4.56,3.6,4.0
11-9171.00,1.86,4.76,6.51,2.04,2.99,4.38
11-9179.01,2.12,3.66,5.4,2.79,2.98,5.62
11-9179.02,1.53,5.67,7.0,1.16,2.51,3.93
11-9199.01,1.25,6.05,6.41,2.84,1.75,2.64
11-9199.02,1.0,6.3,5.93,2.98,1.92,3.1
11-9199.08,1.0,5.64,5.63,3.71,3.79,2.7
11-9199.09,1.0,5.24,6.47,3.04,4.16,2.34
11-9199.10,1.66,4.82,6.71,3.86,3.44,2.38
11-9199.11,1.46,4.69,4.54,4.31,4.49,2.03
13-1011.00,3.52,3.9,6.35,1.65,1.0,4.01
13-1021.00,1.03,4.86,4.86,1.8,4.68,1.7
13-1022.00,1.58,5.15,5.2,1.9,3.41,2.43
13-1023.00,1.12,5.69,4.99,1.91,3.39,1.93
13-1031.00,1.0,6.24,4.8,3.4,1.11,2.63
13-1032.00,1.12,5.46,3.6,3.03,5.05,1.7
13-1041.00,1.0,6.32,4.06,3.05,2.58,2.95
13-1041.01,1.05,5.84,3.21,4.77,4.57,2.35
13-1041.03,1.73,5.21,5.37,3.01,1.23,4.24
13-1041.04,1.0,6.26,4.2,3.32,3.09,2.41
13-1041.06,1.52,4.81,3.92,4.86,4.08,3.13
13-1041.07,1.0,6.32,4.46,3.33,1.48,2.46
13-1041.08,1.0,6.13,5.07,1.53,2.43,2.2
13-1051.00,1.05,6.44,4.71,3.25,3.1,1.66
13-1071.00,1.44,5.5,5.75,2.49,1.07,3.78
13-1074.00,1.0,4.39,4.99,1.54,4.85,3.24
13-1075.00,1.65,4.66,5.68,3.0,1.26,3.83
13-1081.00,1.05,5.58,5.1,3.83,2.39,2.35
13-1081.01,1.06,5.73,3.59,5.46,4.0,1.21
13-1081.02,1.0,6.84,4.41,3.98,3.22,1.55
13-1082.00,1.58,5.56,6.36,2.76,1.46,3.35
13-1111.00,1.58,6.13,4.76,5.46,1.58,2.77
13-1121.00,2.44,5.27,7.0,1.43,1.0,4.52
13-1131.00,3.26,4.13,5.98,1.99,1.0,4.18
13-1141.00,1.28,5.96,5.11,3.5,1.43,3.27
13-1151.00,3.09,3.93,3.76,3.92,1.97,5.66
13-1161.00,2.56,4.62,5.52,4.6,1.07,2.48
13-1161.01,3.23,4.69,5.53,3.81,1.0,2.7
13-1199.04,1.65,5.1,5.31,4.41,2.04,3.06
13-1199.05,2.5,4.41,5.09,5.2,2.06,2.95
13-1199.06,1.58,6.25,5.86,1.5,2.34,2.37
13-1199.07,1.68,5.64,3.6,5.12,3.91,1.98
13-2011.00,1.09,7.0,3.86,3.57,1.14,2.13
13-2022.00,2.03,6.02,4.68,2.61,3.57,1.7
13-2023.00,1.61,5.91,4.81,2.78,2.72,2.66
13-2031.00,1.53,6.92,4.76,3.81,1.0,2.2
13-2041.00,1.0,6.89,4.5,3.83,1.0,2.42
13-2051.00,1.78,5.54,5.09,5.06,1.0,2.25
13-2052.00,1.74,5.58,5.88,3.17,1.0,4.2
13-2053.00,1.0,6.27,4.48,3.52,1.57,2.88
13-2054.00,1.29,5.36,4.92,4.98,1.68,2.49
13-2061.00,1.0,6.16,4.71,3.54,1.0,2.7
13-2071.00,1.8,5.46,4.73,2.62,1.0,4.85
13-2072.00,1.0,6.02,5.03,2.3,1.24,3.76
13-2081.00,1.0,6.79,4.36,2.24,1.29,3.17
13-2082.00,1.0,6.62,3.53,2.36,1.97,2.42
13-2099.01,1.82,5.88,3.42,6.6,1.76,1.61
13-2099.04,1.11,6.09,4.63,4.54,1.85,1.84
15-1211.00,1.98,5.89,2.26,6.36,3.34,1.89
15-1211.01,1.93,4.74,2.1,6.23,2.97,4.63
15-1212.00,1.32,6.16,2.82,5.43,3.61,2.03
15-1221.00,2.86,4.8,2.42,7.0,3.94,2.04
15-1231.00,1.0,5.49,2.71,4.61,4.31,2.33
15-1232.00,1.0,5.89,2.31,3.85,4.06,3.32
15-1241.00,2.24,5.07,3.17,5.33,4.06,2.19
15-1241.01,1.87,4.95,3.16,4.36,4.87,2.08
15-1242.00,1.3,6.57,2.86,4.76,2.7,2.28
15-1243.00,2.22,5.99,2.75,5.68,2.69,1.93
15-1243.01,1.62,6.37,3.09,4.71,2.87,2.0
15-1244.00,1.0,6.18,3.47,4.05,4.2,2.22
15-1251.00,2.62,5.8,2.04,5.18,3.31,2.01
15-1252.00,2.26,5.46,1.87,5.86,3.93,1.88
15-1253.00,1.69,5.68,1.57,5.76,3.8,1.53
15-1254.00,3.07,5.09,2.89,5.06,2.95,2.24
15-1255.00,4.49,4.39,3.14,4.87,2.57,2.21
15-1255.01,6.42,3.87,4.02,4.1,2.68,2.35
15-1299.01,2.28,5.74,3.74,4.42,2.57,2.23
15-1299.02,2.31,5.88,1.93,5.19,4.26,1.93
15-1299.03,1.85,6.75,3.02,3.81,1.67,2.39
15-1299.04,1.28,5.15,2.08,5.17,3.9,1.97
15-1299.05,1.31,6.04,2.66,5.51,4.24,1.85
15-1299.06,1.71,6.05,2.7,6.1,3.18,1.68
15-1299.07,2.07,5.69,3.39,5.28,3.4,1.57
15-1299.08,1.97,5.42,2.81,5.77,4.33,2.04
15-1299.09,1.83,5.29,6.02,3.68,1.72,2.66
15-2011.00,1.18,6.24,3.41,4.44,1.81,2.47
15-2021.00,3.23,5.27,1.16,7.0,3.0,1.97
15-2031.00,2.14,5.77,3.12,6.26,1.92,2.04
15-2041.00,1.76,5.93,1.82,6.63,2.07,1.69
15-2041.01,2.65,4.73,1.86,7.0,2.58,2.67
15-2051.00,2.59,5.4,1.71,6.99,2.16,1.66
15-2051.01,1.95,5.61,4.46,5.46,1.12,1.88
15-2051.02,1.15,6.87,3.3,5.71,1.29,2.55
15-2099.01,1.58,6.04,1.0,6.42,3.81,1.69
17-1011.00,4.55,4.12,3.45,4.18,5.21,2.51
17-1012.00,4.57,3.71,3.66,4.69,5.42,2.63
17-1021.00,3.56,5.33,1.63,5.15,4.61,1.77
17-1022.00,1.77,5.48,1.93,4.82,5.14,1.65
17-1022.01,1.42,5.5,1.64,5.4,5.63,1.58
17-2011.00,2.45,4.63,2.58,6.14,5.37,1.28
17-2021.00,2.2,3.93,2.59,6.28,6.17,1.72
17-2031.00,2.3,3.78,1.58,7.0,5.57,2.91
17-2041.00,1.76,4.61,1.83,5.73,6.28,1.06
17-2051.00,2.15,4.63,2.9,5.11,6.36,1.79
17-2051.01,2.07,4.71,3.04,4.82,5.57,1.96
17-2051.02,1.85,4.53,2.9,5.35,5.62,1.76
17-2061.00,1.84,5.28,1.88,5.64,5.79,1.79
17-2071.00,2.01,5.01,2.31,5.31,6.35,1.57
17-2072.00,2.03,4.68,1.62,5.8,6.23,1.59
17-2072.01,1.4,5.38,1.4,4.81,5.27,1.35
17-2081.00,2.04,4.29,3.1,6.11,5.15,2.21
17-2111.00,1.04,4.66,2.26,5.63,5.32,2.18
17-2111.02,1.51,4.27,2.82,5.28,6.08,2.96
17-2112.00,1.65,5.41,3.52,4.88,4.7,1.4
17-2112.01,2.57,4.24,2.65,6.22,4.67,2.2
17-2112.02,1.45,5.2,2.23,5.42,4.63,1.46
17-2112.03,2.1,4.48,3.06,4.67,5.18,1.51
17-2121.00,2.34,4.44,3.43,5.48,5.72,1.43
17-2131.00,2.54,4.11,2.06,5.83,5.89,1.37
17-2141.00,2.2,4.65,1.76,5.3,6.6,1.1
17-2141.01,1.62,3.99,2.42,5.33,5.89,1.33
17-2141.02,2.44,4.11,2.04,5.7,6.48,1.29
17-2151.00,1.53,4.63,2.75,5.6,6.07,1.85
17-2161.00,2.07,4.42,2.58,6.31,5.0,1.97
17-2171.00,1.91,4.41,2.9,5.25,5.45,1.8
17-2199.03,2.05,4.42,3.06,4.67,5.26,2.24
