soc_code,occupation_title,task_id,task_description,onet_importance,onet_frequency,economic_index_label,eloundou_beta
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",3.81,2.68,augmentation,0.5
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",4.52,3.58,augmentation,0.5
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",4.32,3.77,augmentation,0.0
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",4.13,3.44,augmentation,0.5
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",4.24,3.91,unknown,0.5
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",4.3,2.59,unknown,0.5
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",4.13,4.38,unknown,0.5
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",4.06,3.03,unknown,0.5
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,4.07,4.16,unknown,1.0
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,4.09,2.99,unknown,0.0
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",4.13,2.55,unknown,0.5
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",3.79,2.36,unknown,0.0
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",4.17,3.51,augmentation,0.5
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,3.98,3.15,unknown,0.5
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,4.14,3.07,unknown,0.5
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",3.8,2.8,unknown,0.5
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",3.78,3.26,unknown,0.5
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",3.94,3.15,none,1.0
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",3.92,3.71,augmentation,0.5
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,4.07,2.15,unknown,1.0
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",4.09,3.59,augmentation,0.5
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",3.81,2.12,unknown,0.5
